element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cr,1,"=""4850.211""","=""0.004""","=""4850.2147""","=""0.0007""","=""8""","=""""",,"=""27176.1072""","=""47787.993""","=""3d5.(4P).4s""","=""b 3P""","=""1""","=""3d5.(4P).4p""","=""v 5D*""","=""0""",,"=""""","=""L9190""",
Cr,1,"=""4850.96""","=""0.06""","=""4850.937""","=""0.024""","=""7w""","=""""",,"=""36577.6545""","=""57186.47""","=""3d5.(2F2).4s""","=""d 3F""","=""4""","=""""","=""p 5F*""","=""3""",,"=""""","=""L808""",
Cr,1,"=""4851.464""","=""0.008""","=""4851.4645""","=""0.0003""","=""1""","=""""",,"=""27703.7743""","=""48310.3500""","=""3d4.4s2""","=""b 3G""","=""4""","=""3d4.(3H).4s.4p.(3P*)""","=""y 3H*""","=""5""",,"=""""","=""L14866""",
Fe,2,"=""""","=""""","=""4852.7432""","=""0.0003""","=""""","=""2.49e-02""",C+,"=""2430.1369""","=""23031.2829""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""",E2,"=""T9588c100""","=""""",
Cr,1,"=""4855.152""","=""0.002""","=""4855.1542""","=""0.0009""","=""4""","=""""",,"=""21847.8349""","=""42438.751""","=""3d5.(4P).4s""","=""a 5P""","=""2""","=""3d4.(3P1).4s.4p.(3P*)""","=""x 5D*""","=""2""",,"=""""","=""L14866""",
Fe,1,"=""4855.6729""","=""0.0007""","=""4855.6728""","=""0.0003""","=""1480""","=""""",,"=""27166.820""","=""47755.537""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""4""","=""3d7.(4F).5s""","=""e 5F""","=""3""",,"=""""","=""L11631""",
Ti,2,"=""4855.9053""","=""0.0014""","=""4855.9041""","=""0.0003""","=""18""","=""2.39e+06""",C+,"=""24961.1910""","=""45548.9273""","=""3d.4s2""","=""c 2D""","=""3/2""","=""3d2.(3P).4p""","=""y 2P*""","=""3/2""",,"=""T7385""","=""u37""",
Fe,2,"=""4856.152""","=""0.003""","=""4856.14898""","=""0.00021""","=""50""","=""9.e+05""",D+,"=""83459.721""","=""104046.419""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D<0>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""4857.299""","=""0.002""","=""4857.2994""","=""0.0007""","=""4""","=""""",,"=""21856.9287""","=""42438.751""","=""3d5.(4P).4s""","=""a 5P""","=""1""","=""3d4.(3P1).4s.4p.(3P*)""","=""x 5D*""","=""2""",,"=""""","=""L14866""",
Fe,1,"=""4858.244""","=""0.005""","=""4858.2460""","=""0.0003""","=""79""","=""""",,"=""33801.572""","=""54379.384""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d7.(4F).4d""","=""e 3G""","=""3""",,"=""""","=""L11631""",
Cr,1,"=""4858.83""","=""0.03""","=""4858.8419""","=""0.0003""","=""4""","=""""",,"=""24299.8419""","=""44875.1301""","=""3d5.(4D).4s""","=""b 5D""","=""2""","=""3d4.(3P1).4s.4p.(3P*)""","=""v 5P*""","=""2""",,"=""""","=""L808""",
Fe,2,"=""4859.0296""","=""0.0009""","=""4859.02832""","=""0.00021""","=""110""","=""1.9e+06""",D+,"=""83308.241""","=""103882.740""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<1>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""4859.1215""","=""0.0019""","=""4859.1214""","=""0.0003""","=""295""","=""1.1e+06""",E,"=""33801.572""","=""54375.677""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d7.(4F).4d""","=""f 5G""","=""2""",,"=""T2578n""","=""L11631""",
Fe,2,"=""4859.1215""","=""0.0009""","=""4859.1230""","=""0.0007""","=""350bl(Fe I)""","=""""",,"=""73637.285""","=""94211.383""","=""3d5.4s2""","=""4F""","=""3/2""","=""3d5.(4P).4s.4p.(3P*)""","=""4P*""","=""5/2""",,"=""""","=""L18349c148""",
Fe,1,"=""4859.7411""","=""0.0007""","=""4859.7414""","=""0.0003""","=""24500""","=""1.62e+07""",B+,"=""23192.500""","=""43763.980""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""2""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""1""",,"=""T5720""","=""L11631""",
Cr,1,"=""4859.80""","=""0.03""","=""4859.8011""","=""0.0003""","=""7""","=""""",,"=""24303.9025""","=""44875.1301""","=""3d5.(4D).4s""","=""b 5D""","=""3""","=""3d4.(3P1).4s.4p.(3P*)""","=""v 5P*""","=""2""",,"=""""","=""L808""",
Cr,1,"=""4860.37""","=""0.03""","=""4860.3756""","=""0.0009""","=""7""","=""""",,"=""20517.4222""","=""41086.218""","=""3d5.(4G).4s""","=""a 5G""","=""2""","=""3d4.(5D).4s.4p.(1P*)""","=""y 5F*""","=""3""",,"=""""","=""L808""",
Fe,2,"=""4860.6798""","=""0.0002""","=""4860.67972""","=""0.00019""","=""700""","=""8.5e+06""",C+,"=""82853.704""","=""103421.213""","=""3d6.(5D).4d""","=""e 6F""","=""11/2""","=""3d6.(5D<3>).4f""","=""2[6]*""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""4860.9781""","=""0.0007""","=""4860.9775""","=""0.0003""","=""457""","=""1.3e+05""",E,"=""27394.691""","=""47960.940""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""3d7.(4F).5s""","=""e 3F""","=""4""",,"=""T2578n""","=""L11631""",
Cr,1,"=""4861.1966""","=""0.0007""","=""4861.1983""","=""0.0012""","=""28""","=""""",,"=""20520.9029""","=""41086.218""","=""3d5.(4G).4s""","=""a 5G""","=""3""","=""3d4.(5D).4s.4p.(1P*)""","=""y 5F*""","=""3""",,"=""""","=""L14866""",
H,1,"=""""","=""""","=""4861.278624""","=""0.000024""","=""""","=""1.7188e+07""",AAA,"=""82258.9191133""","=""102823.894250""","=""2p""","=""2P*""","=""1/2""","=""4d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
H,1,"=""4861.283363""","=""0.000024""","=""4861.283363""","=""0.000024""","=""""","=""""",,"=""82258.9543992821""","=""102823.9094871""","=""2s""","=""2S""","=""1/2""","=""4d""","=""2D""","=""5/2""",E2,"=""""","=""L9496""",
H,1,"=""""","=""""","=""4861.2841""","=""0.0014""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c63""",
H,1,"=""4861.286949""","=""0.000024""","=""4861.286949""","=""0.000024""","=""""","=""9.6680e+06""",AAA,"=""82258.9543992821""","=""102823.8943175""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,"=""T7771""","=""L9477""",
H,1,"=""""","=""""","=""4861.288370""","=""0.000024""","=""""","=""8.5941e+05""",AAA,"=""82258.9191133""","=""102823.8530211""","=""2p""","=""2P*""","=""1/2""","=""4s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
H,1,"=""4861.296711""","=""0.000024""","=""4861.296711""","=""0.000024""","=""""","=""""",,"=""82258.9543992821""","=""102823.8530211""","=""2s""","=""2S""","=""1/2""","=""4s""","=""2S""","=""1/2""",M1,"=""""","=""L9496""",
H,1,"=""4861.297761""","=""0.000024""","=""4861.297761""","=""0.000024""","=""""","=""9.6682e+06""",AAA,"=""82258.9543992821""","=""102823.8485825""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,"=""T7771""","=""L9477""",
H,1,"=""""","=""""","=""4861.3250""","=""0.0014""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c64""",
H,1,"=""4861.35""","=""0.05""","=""4861.333""","=""0.003""","=""180000""","=""8.4193e+06""",AAA,"=""82259.158""","=""102823.904""","=""2""","=""""","=""""","=""4""","=""""","=""""",,"=""T8637""","=""L7439c30""",
H,1,"=""""","=""""","=""4861.361516""","=""0.000024""","=""""","=""2.0625e+07""",AAA,"=""82259.2850014""","=""102823.9094871""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""4861.3622""","=""0.0005""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c65""",
H,1,"=""""","=""""","=""4861.365118""","=""0.000024""","=""""","=""3.4375e+06""",AAA,"=""82259.2850014""","=""102823.894250""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
