wavelength,flux
4851.9243,181900000000000.0
4851.9297,181900000000000.0
4851.9346,181900000000000.0
4851.94,181900000000000.0
4851.945,181900000000000.0
4851.9497,181900000000000.0
4851.955,181900000000000.0
4851.96,181900000000000.0
4851.9653,181900000000000.0
4851.97,181900000000000.0
4851.9756,181900000000000.0
4851.9805,181900000000000.0
4851.986,181900000000000.0
4851.9907,181900000000000.0
4851.9956,181900000000000.0
4852.001,181900000000000.0
4852.006,181900000000000.0
4852.011,181900000000000.0
4852.016,181900000000000.0
4852.0215,181900000000000.0
4852.0264,181892470000000.0
4852.0317,181839890000000.0
4852.0366,181800000000000.0
4852.0415,181800000000000.0
4852.047,181800000000000.0
4852.052,181800000000000.0
4852.057,181800000000000.0
4852.062,181800000000000.0
4852.0674,181800000000000.0
4852.0723,181800000000000.0
4852.0776,181800000000000.0
4852.0825,181800000000000.0
4852.0874,181800000000000.0
4852.093,181800000000000.0
4852.0977,181800000000000.0
4852.103,181800000000000.0
4852.108,181800000000000.0
4852.1133,181800000000000.0
4852.118,181800000000000.0
4852.1235,181800000000000.0
4852.1284,181800000000000.0
4852.1333,181800000000000.0
4852.1387,181800000000000.0
4852.1436,181800000000000.0
4852.149,181800000000000.0
4852.154,181800000000000.0
4852.159,181800000000000.0
4852.164,181800000000000.0
4852.1694,181800000000000.0
4852.1743,181800000000000.0
4852.179,181800000000000.0
4852.1846,181800000000000.0
4852.1895,181800000000000.0
4852.195,181800000000000.0
4852.1997,181800000000000.0
4852.205,181800000000000.0
4852.21,181800000000000.0
4852.2153,181800000000000.0
4852.22,181800000000000.0
4852.225,181800000000000.0
4852.2305,181800000000000.0
4852.2354,181800000000000.0
4852.2407,181800000000000.0
4852.2456,181800000000000.0
4852.251,181800000000000.0
4852.256,181800000000000.0
4852.261,181800000000000.0
4852.266,181800000000000.0
4852.271,181800000000000.0
4852.2764,181800000000000.0
4852.2812,181800000000000.0
4852.2866,181800000000000.0
4852.2915,181800000000000.0
4852.297,181800000000000.0
4852.302,181800000000000.0
4852.307,181800000000000.0
4852.312,181800000000000.0
4852.317,181800000000000.0
4852.3223,181800000000000.0
4852.327,181800000000000.0
4852.3325,181800000000000.0
