spectrum_index,spectrum_description,noise_level,snr,noise_std,correlation_with_neg_noise,success,elapsed_time_s,wavelength,method_A,method_B,flux_diff
0,Standard spectrum,0.005,199.00686092596408,0.0050175790332495146,0.8243804477495916,True,0.43011951446533203,[4851.9243 4851.9297 4851.9346 ... 5399.9907 5399.996  5400.001 ],[0.91940871 0.91253822 0.92070129 ... 0.99333449 0.995047   0.99772822],[0.93431354 0.93416348 0.93335986 ... 1.01139298 1.01139478 1.01139651],[0.01490483 0.02162526 0.01265857 ... 0.01805849 0.01634778 0.01366829]
0,Standard spectrum,0.01,99.50343046298204,0.010035158066499029,0.9459594201715591,True,0.4277839660644531,[4851.9243 4851.9297 4851.9346 ... 5399.9907 5399.996  5400.001 ],[0.9209323  0.9073383  0.92445355 ... 0.98545221 0.98887568 0.99423682],[0.93431354 0.93416348 0.93335986 ... 1.01139298 1.01139478 1.01139651],[0.01338124 0.02682518 0.00890632 ... 0.02594077 0.0225191  0.0171597 ]
0,Standard spectrum,0.02,49.75171523149102,0.020070316132998058,0.9856464997002848,True,0.42653393745422363,[4851.9243 4851.9297 4851.9346 ... 5399.9907 5399.996  5400.001 ],[0.92397947 0.89693846 0.93195806 ... 0.96968764 0.97653305 0.987254  ],[0.93431354 0.93416348 0.93335986 ... 1.01139298 1.01139478 1.01139651],[0.01033407 0.03722502 0.0014018  ... 0.04170534 0.03486174 0.02414251]
0,Standard spectrum,0.05,19.900686092596413,0.050175790332495133,0.9976632919360207,True,0.43029332160949707,[4851.9243 4851.9297 4851.9346 ... 5399.9907 5399.996  5400.001 ],[0.93312098 0.86573893 0.95447159 ... 0.92239395 0.93950514 0.96630556],[0.93431354 0.93416348 0.93335986 ... 1.01139298 1.01139478 1.01139651],"[ 0.00119256  0.06842455 -0.02111173 ...  0.08899903  0.07188965
  0.04509096]"
0,Standard spectrum,0.1,9.950343046298206,0.10035158066499027,0.9994144539887785,True,0.4319765567779541,[4851.9243 4851.9297 4851.9346 ... 5399.9907 5399.996  5400.001 ],[0.94835683 0.81373973 0.99199415 ... 0.84357113 0.87779196 0.93139149],[0.93431354 0.93416348 0.93335986 ... 1.01139298 1.01139478 1.01139651],"[-0.0140433   0.12042375 -0.05863429 ...  0.16782184  0.13360283
  0.08000503]"
0,Standard spectrum,0.15,6.63356203086547,0.15052737099748542,0.9997396554974429,True,0.42977356910705566,[4851.9243 4851.9297 4851.9346 ... 5399.9907 5399.996  5400.001 ],[0.96359269 0.76174052 1.02951671 ... 0.76474832 0.81607877 0.89647741],[0.93431354 0.93416348 0.93335986 ... 1.01139298 1.01139478 1.01139651],"[-0.02927915  0.17242296 -0.09615685 ...  0.24664466  0.19531601
  0.1149191 ]"
0,Standard spectrum,0.2,4.975171523149103,0.20070316132998053,0.9998535382837734,True,0.4284670352935791,[4851.9243 4851.9297 4851.9346 ... 5399.9907 5399.996  5400.001 ],[0.97882854 0.70974132 1.06703927 ... 0.6859255  0.75436559 0.86156334],[0.93431354 0.93416348 0.93335986 ... 1.01139298 1.01139478 1.01139651],"[-0.044515    0.22442216 -0.13367941 ...  0.32546748  0.25702919
  0.14983317]"
19392,High metallicity spectrum,0.005,199.30726122800056,0.0050175790332495146,0.9999999341379232,True,0.16623377799987793,[4851.9243 4851.9297 4851.9346 ... 5399.9907 5399.996  5400.001 ],[0.99509695 0.98837363 0.99732586 ... 0.99276085 0.99447241 0.9971528 ],[0.99351817 0.99351836 0.99351845 ... 1.0005855  1.00058607 1.00058655],"[-0.00157878  0.00514473 -0.00380741 ...  0.00782465  0.00611366
  0.00343375]"
19392,High metallicity spectrum,0.01,99.65363061400028,0.010035158066499029,0.9999999835344546,True,0.1614229679107666,[4851.9243 4851.9297 4851.9346 ... 5399.9907 5399.996  5400.001 ],[0.99662054 0.98317371 1.00107812 ... 0.98487857 0.98830109 0.99366139],[0.99351817 0.99351836 0.99351845 ... 1.0005855  1.00058607 1.00058655],"[-0.00310236  0.01034465 -0.00755967 ...  0.01570693  0.01228498
  0.00692516]"
19392,High metallicity spectrum,0.02,49.82681530700014,0.020070316132998058,0.9999999958836113,True,0.16425061225891113,[4851.9243 4851.9297 4851.9346 ... 5399.9907 5399.996  5400.001 ],[0.99966771 0.97277386 1.00858263 ... 0.96911401 0.97595846 0.98667858],[0.99351817 0.99351836 0.99351845 ... 1.0005855  1.00058607 1.00058655],"[-0.00614954  0.02074449 -0.01506418 ...  0.03147149  0.02462761
  0.01390797]"
19392,High metallicity spectrum,0.05,19.93072612280006,0.050175790332495133,0.9999999993413772,True,0.16598224639892578,[4851.9243 4851.9297 4851.9346 ... 5399.9907 5399.996  5400.001 ],[1.00880922 0.94157434 1.03109617 ... 0.92182032 0.93893055 0.96573013],[0.99351817 0.99351836 0.99351845 ... 1.0005855  1.00058607 1.00058655],"[-0.01529105  0.05194402 -0.03757772 ...  0.07876518  0.06165552
  0.03485641]"
19392,High metallicity spectrum,0.1,9.96536306140003,0.10035158066499027,0.9999999998353442,True,0.16269159317016602,[4851.9243 4851.9297 4851.9346 ... 5399.9907 5399.996  5400.001 ],[1.02404508 0.88957514 1.06861873 ... 0.8429975  0.87721737 0.93081606],[0.99351817 0.99351836 0.99351845 ... 1.0005855  1.00058607 1.00058655],"[-0.0305269   0.10394322 -0.07510028 ...  0.157588    0.12336871
  0.06977049]"
19392,High metallicity spectrum,0.15,6.643575374266686,0.15052737099748542,0.9999999999268184,True,0.16263055801391602,[4851.9243 4851.9297 4851.9346 ... 5399.9907 5399.996  5400.001 ],[1.03928093 0.83757593 1.10614129 ... 0.76417468 0.81550419 0.89590199],[0.99351817 0.99351836 0.99351845 ... 1.0005855  1.00058607 1.00058655],"[-0.04576276  0.15594243 -0.11262284 ...  0.23641082  0.18508189
  0.10468456]"
