spectrum_index,spectrum_description,noise_level,snr,noise_std,correlation_with_neg_noise,success,elapsed_time_s,result_key
0,Standard spectrum,0.005,198.9515974418928,0.005018972783802643,0.8256785654881538,True,0.42877721786499023,0_0.005
0,Standard spectrum,0.01,99.9624651209608,0.00998907591611144,0.9453630821236458,True,0.4329037666320801,0_0.01
0,Standard spectrum,0.02,49.82238781076649,0.020041846582052797,0.985632178374761,True,0.42601943016052246,0_0.02
0,Standard spectrum,0.05,19.91708430077062,0.05013447941354974,0.9976625365602061,True,0.4264843463897705,0_0.05
0,Standard spectrum,0.1,9.983065395286873,0.10002264968897619,0.9994109170331426,True,0.42888498306274414,0_0.1
0,Standard spectrum,0.15,6.633409905704582,0.150530823068269,0.9997397060113761,True,0.42525768280029297,0_0.15
0,Standard spectrum,0.2,4.974339052612164,0.20073674960506804,0.9998536119322494,True,0.4267096519470215,0_0.2
19392,High metallicity spectrum,0.005,199.25191432385407,0.005018972783802643,0.9999999341743091,True,0.16663551330566406,19392_0.005
19392,High metallicity spectrum,0.01,100.11335818351617,0.00998907591611144,0.9999999833820145,True,0.16826105117797852,19392_0.01
19392,High metallicity spectrum,0.02,49.897594566337105,0.020041846582052797,0.999999995871832,True,0.16928434371948242,19392_0.02
19392,High metallicity spectrum,0.05,19.947149084023817,0.05013447941354974,0.9999999993402884,True,0.16757655143737793,19392_0.05
19392,High metallicity spectrum,0.1,9.998134804683314,0.10002264968897619,0.9999999998342571,True,0.16701889038085938,19392_0.1
19392,High metallicity spectrum,0.15,6.643423019473292,0.150530823068269,0.9999999999268238,True,0.16783905029296875,19392_0.15
19392,High metallicity spectrum,0.2,4.981847803551121,0.20073674960506804,0.9999999999588496,True,0.16810274124145508,19392_0.2
9696,Mid-range spectrum,0.005,199.20980250546452,0.005018972783802643,0.6290806590191239,True,0.1556224822998047,9696_0.005
9696,Mid-range spectrum,0.01,100.09219926229578,0.00998907591611144,0.8472845828060389,True,0.15325284004211426,9696_0.01
9696,Mid-range spectrum,0.02,49.88704872818251,0.020041846582052797,0.9550115432239524,True,0.15368914604187012,9696_0.02
9696,Mid-range spectrum,0.05,19.94293326144331,0.05013447941354974,0.992381536717881,True,0.1539139747619629,9696_0.05
9696,Mid-range spectrum,0.1,9.996021702590632,0.10002264968897619,0.9980684021476856,True,0.1551504135131836,9696_0.1
9696,Mid-range spectrum,0.15,6.642018934475512,0.150530823068269,0.9991454553842882,True,0.15513014793395996,9696_0.15
9696,Mid-range spectrum,0.2,4.980794891860613,0.20073674960506804,0.9995191978804423,True,0.15361952781677246,9696_0.2
